Region,Case 1st Observed Date,Narrative,CAUSE,DETERMINED FATE,Health status,DISENTANGLEMENT STATUS,"Seen 
1yr+","Breeding, Feeding, Migratory corridor, or Other?",INITIAL  National Cause Criteria: L1-L12,FINAL National Cause Criteria: L1-L12,L1,L2,L3,L4,L5a,L5b,L6a,L6b,L6c,L7a,L7b,L8,L9,L10,L11,L12,"PBR 
Value","Gear 
Type",Trailing?
ATL,12-Jan-00,Sighted w/ entanglement scars on peduncle and discolored (light) right pectoral. Thin w/ lesions & cyamids. Cannot confirm gear present on pectoral. Continued health decline until last sighting in 2001.,EN,SI,Decline,-,1,B,L2,L2,,1,,,,,,,,,,,,,,,1,-,-
ATL,1-Mar-00,"left pectoral discolored, likely point of attachment, with line trailing several body lengths. Cyamid patches on body. No resights.",EN,SI,Unknown,-,0,F,L2,L2,,1,,,,,,,,,,,,,,,1,-,1
ATL,23-Mar-00,"New body wrapping scar discovered during photo review. Seen 7/18/99 & 7/21/99 pre-injury. Healthy resights, reproductively successful.",EN,NS,Recovered,-,1,F,L2,L2,,1,,,,,,,,,,,,,,,0,-,-
ATL,27-Mar-00,"Gear was not noted at the time, but was seen in slides. Line attached tightly wrapping left flipper, possible right mouth or flipper attachment as well, 50-70' of line trailing behind flukes w/ buoy @ end. VHF tag attached 5/8, came off 5/10, retrieved 5/12 w/ no gear. Confirmed to still have gear on left flipper on 9/26/02 while reviewing images for 2005 entanglement . Confirmed gear free from this entanglement on 2/27/07. Healthy resights until 2005 entanglement",EN,NS,Recovered,"Partial, 
Shed Gear",1,F,L2,L2,,1,,,,,,,,,,,,,,,0,-,-
ATL,7-Apr-00,Body wrapping scar discovered during photo analysis. No gear present. Sighted pre-injury on 3/27/00. Healthy resights,EN,NS,Recovered,-,1,F,L2,L2,,1,,,,,,,,,,,,,,,0,-,-
ATL,31-May-00,"gear through mouth w/ 80-90' of dark line trailing beth whale, no wraps. Gear free 5/12/01. Healthy resights",EN,NS,Recovered,Shed Gear,1,F,L3,L3,,,1,,,,,,,,,,,,,,0,-,1
ATL,7-Jul-00,"Seen repeatedly in BOF w/ large deep, gash in his back. classify >10cm & unable to determine vessel size. Many resights in 2001 with injury healing/healed & some cyamids, last seen March 2002. likely died from injury 2+ yrs later, but resights indicate despite cyamids in wound, gash healing and animal robust.",VS,NS,Recovered,-,1,F,L5a,L5a,,,,,1,,,,,,,,,,,,0,-,-
ATL,9-Jul-00,"At least 2 lines exiting both sides of mouth, tightly criss crossing over back. 1+ lines from right mouth pins left flipper to body. 2 loops across whale's back. Poss right flipper involvement. 2 lines trail just beyond flukes. Tagged on 7/13; partial disentanglement - loop cut on 7/15; Tag retrieved w/ some gear on 7/20. Gear free on 9/7 . Healthy resights, reproductively successful",EN,NS,Recovered,"Partial, 
Shed Gear",1,F,L2,L2,,1,,,,,,,,,,,,,,,0,Pot/trap,1
ATL,25-Jul-00,"not relocated. Line entered & exited right mouth, leading over body to left flipper, then entered & exited left mouth, trailing ~200' aft of flukes. Body wrap is ""snug"". Photo analysis confirms first EN on 7/25/00. Partial disentanglement 3/29/01, tag attached & 124' of gear retrieved; tag w/ 98' gear retrieved on 5/8/01; Confirmed gear free 6/8/01. Healthy resights, reproductively successful.",EN,NS,Recovered,"Partial, 
Shed Gear",1,F,L2,L3,,1,1,,,,,,,,,,,,,,0,-,1
ATL,18-Aug-00,"whale had small amount of netting around tail stock, full configuration unknown. Very brief sighting, no photos. Not relocated.",EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,1,Net,-
