Region,Case 1st Observed Date,Narrative,CAUSE,DETERMINED FATE,Health status,DISENTANGLEMENT STATUS,"Seen 
1yr+","Breeding, Feeding, Migratory corridor, or Other?",INITIAL  National Cause Criteria: L1-L12,FINAL National Cause Criteria: L1-L12,L1,L2,L3,L4,L5a,L5b,L6a,L6b,L6c,L7a,L7b,L8,L9,L10,L11,L12,"PBR 
Value","Gear 
Type",Trailing?
ATL,11-Dec-00,"10.8 m female; abrasions, bruising, large hematoma assoc w/ 4 broken ribs and broken vertebral processes - consistent with blunt force trauma",VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,3-Jan-01,"female, large abrasion dorsal to left pectoral w/ extensive subdermal hemorrhaging, broken bones.. Necropsied on /1/4/01. Blunt force trauma",VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,1-Feb-01,"Fresh dead, 47 ft, broken jaw, indications of drowning, well sampled for histo. Suspect brought into port on bow of vessel, but not actually documented on a vessel.",VS,MT,Dead,-,0,M,L12,L12,,,,,,,,,,,,,,,,1,1,-,-
ATL,29-Jun-01,"free-swimming trailing 10-20ft line w/ white buoy, full configuration unclear. Animal shed gear during observation. Gear not recovered",EN,NS,Unknown,Shed Gear,0,F,L10,L10,,,,,,,,,,,,,,1,,,0,-,1
ATL,19-Sep-01,Fresh carcass with evidence of multiple constricting body wraps. No necropsy but MT due to EN most parsimonious,EN,MT,Dead,-,0,M,L2,L2,,1,,,,,,,,,,,,,,,1,-,-
ATL,28-Jul-02,"Evidence of heavy constricting wrap on peduncle, possibly anchored. Advanced decomp and no necropsy, but COD=EN most parsimonious",EN,MT,Dead,-,0,F,L2,L2,,1,,,,,,,,,,,,,,,1,-,-
ATL,26-Aug-03,"No photos, reported to have a single line trailing a buoy, possible tail wraps, full configuration unknown. No response due to no standby vessels, distance offshore, and time of day.",EN,PR,Unknown,-,0,F,L10,L10,,,,,,,,,,,,,,1,,,0.75,-,1
ATL,12-Feb-04,"A ""lobster"" type buoy trailing approximately 15 feet behind the blowholes - no additional trailng gear seen, however, two trailing lines are apparent and one may trail behind the whale.  It appears in the images that there is at least one line exiting the right side of the mouth and a tangle of lines at the blowholes including some that appear to be coming out of the blowholes",EN,SI,Unknown,-,0,M,"L1,L10","L1,L10",1,,,,,,,,,,,,,1,,,1,-,1
ATL,25-Feb-04,"Tug was pulling vessel (748 ft) arriving from Boston in to Pt. Elizabeth NJ (transit speed 18.4 kts) and 23-30 ft whale pinned to bow.  As ship stopped and backed off, the fresh carcass came free of the bow and sunk.  Carcass refloated and came ashore, massive gash that cut half way through the body.  Necropsied, but no official necropsy report available. laceration from bow extended from mid dorsal, along left lateral, to mid-ventral & penetrated blubber and muscle layer (L5a); bruising along left jaw @ skull articulation; displaced vertebrae; possible ruptured organs; COD factors = exsanguination; spinal shock and paralysis & possible concussion, which would result in unconsciousness and subsequent drowning; organ ruptures would cause massive system failure and death. ",VS,MT,Dead,-,0,M,"L5a,L7a","L5a, L7a",,,,,1,,,,,1,,,,,,,1,-,-
ATL,30-Jun-04,"Fresh carcass with evidence of extensive entanglement on peduncle + constricting line across ventral pleats, likely originating from mouthline. Apparent lobster gear; 5/8"" sinking line attached to something deeper in the water column, but unclear from description if carcass is anchored.",EN,MT,Dead,-,0,M,L2,L2,,1,,,,,,,,,,,,,,,1,Pot/Trap,-
