Region,Case 1st Observed Date,Narrative,CAUSE,DETERMINED FATE,Health status,DISENTANGLEMENT STATUS,"Seen 
1yr+","Breeding, Feeding, Migratory corridor, or Other?",INITIAL  National Cause Criteria: L1-L12,FINAL National Cause Criteria: L1-L12,L1,L2,L3,L4,L5a,L5b,L6a,L6b,L6c,L7a,L7b,L8,L9,L10,L11,L12,"PBR 
Value","Gear 
Type",Trailing?
PAC,14-Jan-07,WHALE NEAR NEWPORT REPORTEDLY DISENTANGLED BY FISHERMAN. GEAR AMOUNT AND CONFIGURATION UNKNOWN. NOT KNOWN IF ALL GEAR WAS REMOVED. FINAL OUTCOME UNKNOWN.,EN,PR,UNKNOWN,Partial,0,M,,L10,,,,,,,,,,,,,,,,,0.75,Unidentified,
PAC,4/2/2007,"FREE-SWIMMING ANIMAL TRAILING 3-5 FEET OF SMALL MESH BLUE/GREEN MONOFILAMENT NETTING FROM AROUND TAIL STOCK; RESCUE EFFORT INITIATED; MOST OF NETTING CUT AWAY, SMALL AMOUNT OF LOOSE NETTING REMAINING AROUND TAIL STOCK; FINAL STATUS UNKNOWN, BUT AMOUNT AND LOOSE NATURE OF GEAR SUPPORTS DESIGNATION OF NSI.",EN,NS,UNKNOWN,Partial,0,M,,L3,,,,,,,,,,,,,,,,,0,Gillnet,1
PAC,4/20/2007,"ENTANGLED IN CRAB GEAR. SKIPPER OF NEARBY VESSEL REMOVED 8 POTS. WHALE STILL HAD 8 BUOYS AND MULTIPLE WRAPS OF LINE AROUND MID-SECTION, LEFT PECTORAL FLIPPER, AND THROUGH MOUTH. AMOUNT AND CONFIGURATION OF REMAINING GEAR UNKNOWN.",EN,SI,UNKNOWN,Partial,0,M,,L2,,,,,,,,,,,,,,,,,1,Pot/Trap,
PAC,6/1/2007,CARCASS; 4 PROPELLER-LIKE WOUNDS TO BODY,VS,MT,DEAD.DECLINE,-,0,M,,NA,,,,,,,,,,,,,,,,,1,-,
PAC,6/27/2007,FREE-SWIMMING ANIMAL TRAILING 2 POT/TRAP BUOYS FROM TAIL STOCK. FINAL STATUS UNKNOWN. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.,EN,PR,UNKNOWN,-,0,M,,L10,,,,,,,,,,,,,,,,,0.75,Pot/Trap,1
PAC,7/26/2007,"SOME GEAR WAS REMOVED FROM THE ANIMAL, SWAM AWAY WITH GEAR STILL ATTACHED. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.",EN,PR,UNKNOWN,Partial,0,M,,L10,,,,,,,,,,,,,,,,,0.75,Unidentified,
PAC,12/7/2007,"WHALE SIGHTED IN HUMBOLDT BAY, CA, TRAILING GEAR IN APRIL 2008. GEAR WAS SET IN DECEMBER 2007 IN BERING SEA. WHALE WAS TRAILING 40-50 FEET OF LINE WITH THREE BUOYS ATTACHED. BUOYS WERE REMOVED BUT APPROXIMATELY 20-30' OF LINE REMAIN ATTACHED TO THE WHALE. THE WHALE APPEARED SEVERLY UNDERWEIGHT AND HAS AN S-SHAPED SPINE. HEALTH DECLINE.",EN,SI,DEAD.DECLINE,Partial,0,M,,L2,,,,,,,,,,,,,,,,,1,Pot/Trap,1
PAC,2/7/2008,CARCASS; PROPELLER-LIKE WOUNDS TO LEFT DORSUM FROM MID-BODY TO CAUDAL PEDUNCLE; DEEP EXTERNAL BRUISING ON RIGHT SIDE OF HEAD; FIELD NECROPSY REVEALED MULTIPLE CRANIAL FRACTURES.,VS,MT,DEAD.DECLINE,-,0,M,,NA,,,,,,,,,,,,,,,,,1,-,
PAC,3/1/2008,CARCASS BROUGHT INTO PORT ON BOW OF CRUISE SHIP; COLLISION OCCURRED BETWEEN PORTS OF SAN DIEGO & CABO SAN LUCAS BETWEEN 5:00 P.M. ON 2/28 & 7:20 A.M. ON 3/1,VS,MT,DEAD.DECLINE,-,0,M,,NA,,,,,,,,,,,,,,,,,1,-,
PAC,4/12/2008,STATIONARY WHALE 20 FT. IN LENGTH DESCRIBED AS 'SEVERELY MALNOURISHED' ENTANGLED IN GEAR. LINE AND THREE BUOYS EXTENDED 40 TO 50 FT BEHIND WHALE (=TRAILING GEAR). AMOUNT AND CONFIGURATION OF GEAR UNKNOWN. WHALE'S SPINE NOTED AS DISTORTED AND S-SHAPED. HEALTH DECLINE. FISHERY CONFIRMED VIA TAG NUMBER AND INTERVIEW WITH FISHERMAN. GEAR HAD BEEN SET IN BERING SEA BETWEEN OCTOBER AND DECEMBER 2007.,EN,PR,DEAD.DECLINE,-,0,M,,L10,,,,,,,,,,,,,,,,,1,Pot/Trap,1
PAC,1/31/2009,FREE-SWIMMING ANIMAL TRAILING UNIDENTIFIED POT/TRAP GEAR; USCG REPORTED GEAR AS 4 LOBSTER POTS; FINAL STATUS UNKNOWN. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.,EN,PR,UNKNOWN,-,0,M,,L10,,,,,,,,,,,,,,,,,0.75,Pot/Trap,1
PAC,3/25/2009,"FREE-SWIMMING ANIMAL WITH PINK GILLNET WRAPPED AROUND HEAD, TRAILING 4 FEET OF VISIBLE NETTING. REPORT RECEIVED VIA NATURALIST ON LOCAL WHALEWATCH VESSEL. AMOUNT AND CONFIGURATION OF GEAR UNKNOWN.",EN,PR,UNKNOWN,-,0,M,,L10,,,,,,,,,,,,,,,,,0.75,Gillnet,1
PAC,4/4/2009,"NECROPSIED, BROKEN BONES IN SKULL; EXTENSIVE HEMORRHAGE HEAD AND THORAX.",VS,MT,DEAD.DECLINE,-,0,M,,NA,,,,,,,,,,,,,,,,,1,-,
