"Region","Case.1st.Observed.Date","ID.Name","Field....S.","Narrative","CAUSE","DETERMINED.FATE","Health.status","DISENTANGLEMENT.STATUS","Seen..1yr.","Breeding..Feeding..Migratory.corridor..or.Other.","INITIAL..National.Cause.Criteria..L1.L12","FINAL.National.Cause.Criteria..L1.L12","L1","L2","L3","L4","L5a","L5b","L6a","L6b","L6c","L7a","L7b","L8","L9","L10","L11","L12","PBR..Value","Gear..Type","Trailing.","Species","anchored","calf.juv","constricting","decline","extensive.severe","fluke.peduncle","gear.free","head","healing","laceration.deep","laceration.shallow","pectoral","swim.dive","trailing","VessSpd","VessSz","wraps.multi","wraps.no"
"ATL","2001","-","-","Not reported until Feb 2006. Very little detail. M/V Lykes Motivator struck whale while traveling between Germany & Charleston, SC. 795 feet @ unk speed","VS","MT","Dead","-",0,"FALSE","L7a","L7a",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"-","-","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzLarge",0,0
"ATL","31-Aug-02","328","E30-02","Free swimming with unknown configuration.","EN","PR","Unknown","-",0,"FALSE","L10","L10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,0.75,"-","-","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,1,0,"VSpdUnk","VSzUnk",0,0
"PAC","1/28/2007","","","CONTAINER SHIP REPORTED STRIKING A WHALE. ASSUME VESSEL SPEED EXCEEDED 10 KTS AND SIZE MUCH GREATER THAN WHALE.","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdSlow","VSzLarge",0,0
"PAC","9/8/2007","","","CARCASS FLOATING IN HARBOR","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","9/13/2007","","","CARCASS; VERTEBRAL COLUMN SEVERED IN LUMBAR/CAUDAL REGION; LARGE HEMATOMA EXTENDING FROM DORSAL FIN TO PECTORAL FIN ON LEFT LATERAL SIDE","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,1,0,1,0,0,0,0,0,0,1,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","9/19/2007","","","CARCASS; CRANIAL RIBS, THORACIC VERTEBRAE & CAUDAL SKULL FRACTURED","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","11/30/2007","","","CARCASS; SEVERED RIGHT PECTORAL FIN","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,1,0,1,0,0,0,0,0,0,1,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","10/12/2009","","","FRACTURED VERTEBRAL BODIES, DORSAL & TRANSVERSE PROCESSES, & END PLATES; VERTEBRAE FRACTURED CAUDAL TO RIBS, NO FRACTURED RIBS; SUBCUTANEOUS TISSUE & MUSCLE HEMORRHAGING IN AREA OF VERTEBRAL TRAUMA; CARCASS EXAMINED BY LONG MARINE LABORATORY, MOSS LANDING MARINE LABORATORIES, THE MARINE MAMMAL CENTER & OTHERS","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"VSpdUnk","VSzUnk",0,0
"PAC","10/19/2009","","","HYDROGRAPHIC SURVEY VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL; MORTALITY; CARCASS WASHED ASHORE SOUTH OF MENDOCINO; TWO DEEP DIAGONAL PROPELLER-LIKE CUTS ACROSS BACK & EXTENDING INTO VERTEBRAE & INTERVERTEBRAL DISKS; TWO FRACTURED POSTERIOR VERTEBRAE; CARCASS EXAMINED BY HSU-VM","VS","MT","DEAD","",0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"","","BLWH",0,0,0,0,0,0,1,0,0,1,0,0,1,0,"VSpdUnk","VSzUnk",0,0
"PAC","8/4/2010","","","REPORT FROM CAPTAIN OF STRIKING A WHALE. WHALEWATCH VESSEL COLLIDED WITH FREE-SWIMMING ANIMAL; REPORT IS OF ANIMAL STRUCK MID-BODY, DIVING FOLLOWING STRIKE. VESSEL SIZE ASSUMED >65 FT. AND SPEED UNKNOWN.","VS","PR","Unknown","",0,NA,"","L7A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,"","","BLWH",0,0,0,0,0,0,0,0,0,0,0,0,1,0,"VSpdUnk","VSzLarge",0,0
